date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:53	31371/31371	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:55%20GMT	https://www.e-obce.sk/o_projekte.html	C:/My%20Web%20Sites/obce/web/html/o_projekte.html	(from https://www.e-obce.sk/)
12:34:53	32285/32285	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:55%20GMT	https://www.e-obce.sk/pravne_informacie.html	C:/My%20Web%20Sites/obce/web/html/pravne_informacie.html	(from https://www.e-obce.sk/)
12:34:54	1467/1467	---M--	200	added ('OK')	application/javascript	etag:%225bb-4fc151359af00%22	https://www.e-obce.sk/chrisdomroll.js	C:/My%20Web%20Sites/obce/web/images/chrisdomroll.js	(from https://www.e-obce.sk/)
12:34:55	47378/47378	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:56%20GMT	https://www.e-obce.sk/kraj/KE.html	C:/My%20Web%20Sites/obce/web/html/ke.html	(from https://www.e-obce.sk/)
12:34:58	47616/-1	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:34:58%20GMT	https://www.e-obce.sk/kraj/BB.html	C:/My%20Web%20Sites/obce/web/html/bb.html	(from https://www.e-obce.sk/)
12:35:00	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:34:57%20GMT	https://www.e-obce.sk/images/vlavotdhead.jpg	C:/My%20Web%20Sites/obce/web/images/vlavotdhead.jpg	(from https://www.e-obce.sk/)
12:35:01	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:34:58%20GMT	https://www.e-obce.sk/images/webyleft.jpg	C:/My%20Web%20Sites/obce/web/images/webyleft.jpg	(from https://www.e-obce.sk/)
12:35:01	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:34:58%20GMT	https://www.e-obce.sk/images/webyright.jpg	C:/My%20Web%20Sites/obce/web/images/webyright.jpg	(from https://www.e-obce.sk/)
12:35:03	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2018%20Jan%202018%2011:35:00%20GMT	https://www.e-obce.sk/images/krajvpravo.jpg	C:/My%20Web%20Sites/obce/web/images/krajvpravo.jpg	(from https://www.e-obce.sk/)
12:35:03	47906/-1	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202018%2011:35:03%20GMT	https://www.e-obce.sk/podujatia.html	C:/My%20Web%20Sites/obce/web/html/podujatia.html	(from https://www.e-obce.sk/)
